domainID,siteID,year,month,discharge_month_mean_L_sec,discharge_month_max,discharge_month_min,fishLifeStage,scientificName,taxonRank,taxonID,fish_month_tally,sum_fish_mass
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,adult,Noturus funebris,species,NOTFUN,4,107.80000000000001
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,adult,Percina nigrofasciata,species,PERNIG,1,1.4
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,gravid female,Notropis baileyi,species,NOTBAI,1,1.3
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Etheostoma lachneri,species,ETHLAC,2,0.8999999999999999
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Fundulus notatus,species,FUNNOT,3,2.5
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Ichthyomyzon gagei,species,ICHGAG,8,134
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Lepomis miniatus,species,LEPMIN,1,13.8
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Moxostoma poecilurum,species,MOXPOE,1,59.5
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Notropis baileyi,species,NOTBAI,14,5.699999999999998
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Notropis texanus,species,NOTTEX,4,2
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Noturus funebris,species,NOTFUN,2,29.5
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,juvenile,Noturus leptacanthus,species,NOTLEP,1,0.6
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Etheostoma lachneri,species,ETHLAC,2,0.8999999999999999
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Fundulus notatus,species,FUNNOT,1,1.8
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Ichthyomyzon gagei,species,ICHGAG,5,12.3
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Moxostoma poecilurum,species,MOXPOE,3,944.3
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Notropis baileyi,species,NOTBAI,14,17.599999999999998
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Notropis texanus,species,NOTTEX,1,1.9
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Noturus funebris,species,NOTFUN,2,16.400000000000002
D08,MAYF,2022,4,387.40137500000003,1842.95,170.03,NA,Percina nigrofasciata,species,PERNIG,1,1.6
D08,MAYF,2022,5,174.5258299731183,1388.64,38.99,NA,NA,NA,NA,NA,NA
D08,MAYF,2022,6,55.54962152777774,160.54,17.62,NA,NA,NA,NA,NA,NA
D08,MAYF,2022,7,50.33970430107527,617.45,10.59,NA,NA,NA,NA,NA,NA
D08,MAYF,2022,8,86.59313210227263,1134.16,9.96,NA,NA,NA,NA,NA,NA
D08,MAYF,2022,9,44.58053472222225,78.9,17.54,NA,NA,NA,NA,NA,NA
D08,MAYF,2022,10,75.70049395161287,418.71,30.83,NA,NA,NA,NA,NA,NA
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Ameiurus natalis,species,AMENAT,2,109
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Erimyzon oblongus,species,ERIOBL,2,19.2
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Etheostoma chlorosomum,species,ETHCHL1,1,1.2
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Etheostoma lachneri,species,ETHLAC,47,20.300000000000008
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Etheostoma sp.,genus,ETHSP,1,1
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Etheostoma stigmaeum,species,ETHSTI,9,3.2999999999999994
